X,y
5,5
6,6
6,6
6,6
8,8
6,6
59,59
50,50
03,3
16,16
8,8
8,8
2,2
75,75
5,5
6,6
90,90
3,3
81,81
4,4
5,5
40,40
36,36
7,7
12,12
46,46
5,5
81,81
99,99
89,89
60,60
19,19
5,5
9,9
06,6
6,6
5,5
23,23
82,82
41,41
50,50
0,0
94,94
9,9
69,69
7,7
07,7
4,4
60,60
14,14
9,9
6,6
94,94
20,20
4,4
80,80
35,35
9,9
1,1
26,26
4,4
2,2
24,24
42,42
77,77
2,2
7,7
8,8
38,38
3,3
5,5
7,7
1,1
6,6
0,0
8,8
06,6
88,88
88,88
5,5
5,5
37,37
2,2
26,26
7,7
94,94
84,84
1,1
2,2
2,2
4,4
41,41
34,34
38,38
7,7
01,1
40,40
36,36
23,23
1,1
64,64
2,2
1,1
5,5
9,9
1,1
44,44
78,78
97,97
0,0
4,4
94,94
8,8
8,8
08,8
94,94
78,78
52,52
54,54
7,7
3,3
79,79
5,5
8,8
18,18
9,9
77,77
25,25
63,63
96,96
71,71
6,6
61,61
2,2
11,11
7,7
55,55
68,68
42,42
3,3
17,17
02,2
33,33
1,1
86,86
4,4
8,8
1,1
6,6
19,19
4,4
3,3
54,54
49,49
87,87
44,44
46,46
62,62
83,83
21,21
99,99
5,5
68,68
18,18
7,7
44,44
4,4
10,10
68,68
02,2
03,3
8,8
9,9
7,7
2,2
2,2
02,2
9,9
3,3
54,54
28,28
2,2
9,9
1,1
48,48
02,2
87,87
40,40
90,90
14,14
7,7
07,7
0,0
9,9
41,41
65,65
8,8
8,8
6,6
73,73
1,1
92,92
4,4
23,23
62,62
7,7
45,45
85,85
39,39
71,71
54,54
9,9
13,13
7,7
34,34
61,61
76,76
2,2
9,9
01,1
59,59
9,9
1,1
67,67
24,24
86,86
3,3
3,3
0,0
64,64
54,54
01,1
1,1
29,29
35,35
57,57
51,51
50,50
96,96
51,51
25,25
78,78
99,99
9,9
5,5
92,92
90,90
6,6
39,39
87,87
3,3
2,2
61,61
19,19
67,67
6,6
33,33
46,46
5,5
5,5
16,16
9,9
00,0
1,1
0,0
8,8
8,8
08,8
65,65
6,6
34,34
11,11
91,91
54,54
26,26
32,32
3,3
92,92
51,51
2,2
67,67
9,9
18,18
11,11
69,69
8,8
82,82
3,3
9,9
2,2
3,3
6,6
99,99
7,7
6,6
35,35
8,8
74,74
3,3
32,32
6,6
53,53
6,6
98,98
88,88
68,68
8,8
4,4
71,71
49,49
6,6
14,14
9,9
6,6
09,9
4,4
6,6
4,4
93,93
0,0
43,43
2,2
8,8
3,3
57,57
1,1
15,15
93,93
04,4
9,9
35,35
6,6
94,94
6,6
83,83
74,74
7,7
06,6
9,9
2,2
4,4
91,91
14,14
14,14
70,70
5,5
8,8
7,7
1,1
6,6
49,49
73,73
9,9
4,4
27,27
90,90
3,3
04,4
7,7
27,27
3,3
30,30
0,0
18,18
8,8
7,7
3,3
86,86
98,98
21,21
33,33
3,3
6,6
1,1
60,60
6,6
98,98
2,2
14,14
4,4
23,23
7,7
14,14
5,5
6,6
0,0
41,41
7,7
28,28
4,4
64,64
07,7
22,22
2,2
4,4
51,51
5,5
08,8
53,53
0,0
53,53
9,9
91,91
90,90
6,6
7,7
0,0
9,9
64,64
15,15
08,8
17,17
4,4
75,75
02,2
1,1
8,8
46,46
01,1
3,3
08,8
36,36
0,0
7,7
01,1
76,76
7,7
9,9
17,17
79,79
6,6
0,0
0,0
2,2
5,5
6,6
5,5
58,58
6,6
74,74
4,4
07,7
3,3
40,40
68,68
87,87
0,0
0,0
83,83
4,4
52,52
96,96
50,50
2,2
7,7
70,70
3,3
73,73
7,7
85,85
63,63
2,2
7,7
72,72
2,2
9,9
6,6
1,1
01,1
11,11
1,1
4,4
3,3
4,4
6,6
47,47
77,77
2,2
6,6
5,5
9,9
7,7
4,4
30,30
74,74
6,6
67,67
36,36
62,62
6,6
1,1
9,9
2,2
9,9
8,8
60,60
94,94
92,92
42,42
62,62
77,77
5,5
55,55
5,5
8,8
97,97
0,0
7,7
0,0
5,5
2,2
7,7
53,53
38,38
3,3
59,59
6,6
4,4
3,3
7,7
9,9
7,7
01,1
99,99
4,4
79,79
3,3
6,6
63,63
51,51
0,0
7,7
8,8
6,6
10,10
61,61
95,95
4,4
4,4
13,13
70,70
69,69
6,6
59,59
6,6
7,7
6,6
6,6
5,5
55,55
8,8
46,46
2,2
9,9
28,28
6,6
3,3
73,73
1,1
11,11
37,37
41,41
9,9
65,65
3,3
6,6
51,51
3,3
8,8
59,59
0,0
8,8
