X,y
2,2
4,4
10,10
20,20
22,22
24,24
26,26
28,28
30,30
32,32
34,34
42,42
44,44
48,48
52,52
56,56
60,60
62,62
64,64
66,66
68,68
70,70
74,74
76,76
78,78
82,82
86,86
88,88
92,92
94,94
96,96
106,106
108,108
110,110
114,114
118,118
120,120
124,124
126,126
132,132
134,134
136,136
140,140
144,144
146,146
150,150
154,154
156,156
160,160
164,164
166,166
168,168
170,170
172,172
174,174
176,176
180,180
182,182
184,184
186,186
188,188
190,190
192,192
198,198
200,200
202,202
204,204
208,208
210,210
214,214
218,218
220,220
222,222
228,228
232,232
234,234
236,236
238,238
246,246
248,248
258,258
260,260
262,262
264,264
266,266
270,270
272,272
274,274
276,276
286,286
290,290
292,292
296,296
298,298
302,302
304,304
308,308
312,312
316,316
320,320
324,324
330,330
336,336
340,340
344,344
348,348
352,352
356,356
360,360
364,364
366,366
372,372
376,376
378,378
382,382
390,390
392,392
394,394
396,396
398,398
400,400
406,406
408,408
416,416
420,420
424,424
426,426
428,428
430,430
432,432
434,434
436,436
438,438
446,446
450,450
452,452
454,454
456,456
458,458
460,460
464,464
470,470
472,472
474,474
478,478
480,480
482,482
484,484
488,488
490,490
494,494
502,502
504,504
508,508
510,510
512,512
514,514
516,516
518,518
522,522
526,526
530,530
532,532
540,540
542,542
546,546
562,562
564,564
568,568
570,570
574,574
576,576
580,580
582,582
588,588
596,596
600,600
604,604
608,608
612,612
618,618
620,620
622,622
624,624
626,626
628,628
630,630
632,632
634,634
636,636
638,638
640,640
642,642
644,644
646,646
648,648
650,650
654,654
656,656
658,658
660,660
670,670
672,672
676,676
678,678
680,680
690,690
692,692
702,702
704,704
708,708
716,716
720,720
722,722
724,724
728,728
730,730
732,732
738,738
740,740
748,748
750,750
752,752
756,756
760,760
766,766
778,778
780,780
782,782
784,784
786,786
788,788
790,790
792,792
794,794
796,796
800,800
802,802
804,804
806,806
808,808
810,810
812,812
814,814
816,816
818,818
820,820
822,822
828,828
832,832
