X,y
0,0
4,4
6,6
20,20
21,21
22,22
23,23
26,26
27,27
29,29
40,40
42,42
43,43
47,47
48,48
60,60
61,61
65,65
67,67
69,69
82,82
84,84
85,85
89,89
200,200
202,202
203,203
204,204
205,205
211,211
212,212
213,213
214,214
215,215
219,219
220,220
223,223
224,224
225,225
226,226
227,227
229,229
234,234
236,236
245,245
247,247
248,248
249,249
251,251
254,254
255,255
257,257
259,259
260,260
261,261
264,264
265,265
266,266
268,268
269,269
271,271
273,273
274,274
275,275
276,276
278,278
282,282
283,283
284,284
288,288
290,290
292,292
293,293
294,294
295,295
297,297
298,298
299,299
400,400
402,402
403,403
404,404
405,405
406,406
407,407
408,408
409,409
410,410
411,411
412,412
413,413
415,415
416,416
417,417
418,418
419,419
422,422
423,423
426,426
427,427
429,429
432,432
434,434
435,435
436,436
437,437
438,438
440,440
441,441
442,442
443,443
444,444
448,448
449,449
451,451
453,453
455,455
457,457
458,458
460,460
462,462
464,464
467,467
468,468
469,469
470,470
471,471
472,472
473,473
474,474
476,476
478,478
480,480
483,483
484,484
485,485
487,487
491,491
492,492
495,495
600,600
601,601
602,602
603,603
604,604
605,605
606,606
607,607
610,610
611,611
612,612
613,613
615,615
616,616
618,618
619,619
622,622
623,623
625,625
627,627
628,628
630,630
633,633
634,634
636,636
637,637
639,639
641,641
642,642
643,643
646,646
647,647
649,649
651,651
653,653
655,655
656,656
658,658
659,659
660,660
663,663
664,664
667,667
669,669
672,672
674,674
678,678
680,680
682,682
683,683
684,684
685,685
687,687
688,688
689,689
697,697
698,698
699,699
800,800
801,801
802,802
803,803
804,804
805,805
807,807
808,808
809,809
811,811
814,814
815,815
818,818
819,819
821,821
822,822
826,826
828,828
829,829
831,831
832,832
836,836
837,837
838,838
840,840
841,841
842,842
845,845
846,846
847,847
848,848
849,849
850,850
851,851
853,853
855,855
857,857
858,858
859,859
862,862
863,863
864,864
865,865
866,866
868,868
870,870
871,871
873,873
874,874
876,876
877,877
878,878
879,879
880,880
881,881
882,882
883,883
884,884
886,886
887,887
888,888
889,889
890,890
891,891
892,892
893,893
895,895
897,897
899,899
2001,2001
2002,2002
2003,2003
2005,2005
2006,2006
2010,2010
2013,2013
2014,2014
2016,2016
2019,2019
2020,2020
2029,2029
2032,2032
2033,2033
2034,2034
2036,2036
2041,2041
2042,2042
2043,2043
2045,2045
2046,2046
2048,2048
2051,2051
2052,2052
2055,2055
