X,y
1,1
10,10
11,11
12,12
13,13
14,14
15,15
17,17
18,18
30,30
31,31
33,33
36,36
52,52
54,54
55,55
56,56
57,57
59,59
70,70
71,71
78,78
79,79
90,90
93,93
94,94
95,95
96,96
99,99
101,101
102,102
104,104
105,105
107,107
108,108
110,110
113,113
114,114
115,115
116,116
117,117
121,121
123,123
125,125
127,127
130,130
131,131
132,132
133,133
134,134
135,135
138,138
139,139
140,140
141,141
144,144
145,145
146,146
148,148
149,149
150,150
151,151
156,156
157,157
158,158
161,161
162,162
163,163
166,166
169,169
170,170
171,171
172,172
175,175
177,177
178,178
179,179
180,180
183,183
185,185
186,186
188,188
190,190
191,191
196,196
197,197
301,301
303,303
306,306
307,307
308,308
310,310
311,311
312,312
313,313
317,317
319,319
320,320
321,321
324,324
326,326
327,327
328,328
329,329
330,330
332,332
333,333
335,335
336,336
337,337
338,338
339,339
342,342
343,343
345,345
346,346
347,347
352,352
354,354
355,355
357,357
361,361
363,363
364,364
366,366
367,367
369,369
370,370
371,371
372,372
374,374
375,375
377,377
379,379
381,381
382,382
383,383
388,388
389,389
390,390
391,391
392,392
394,394
395,395
397,397
398,398
500,500
501,501
502,502
504,504
506,506
508,508
511,511
512,512
513,513
515,515
516,516
517,517
519,519
520,520
521,521
522,522
524,524
525,525
527,527
528,528
531,531
534,534
537,537
538,538
540,540
541,541
542,542
543,543
545,545
546,546
548,548
549,549
550,550
553,553
554,554
555,555
556,556
557,557
558,558
559,559
561,561
562,562
563,563
565,565
566,566
567,567
569,569
570,570
571,571
572,572
574,574
575,575
576,576
577,577
578,578
579,579
580,580
582,582
585,585
587,587
588,588
589,589
591,591
592,592
593,593
594,594
595,595
596,596
599,599
700,700
704,704
705,705
708,708
710,710
712,712
713,713
714,714
715,715
716,716
717,717
718,718
720,720
721,721
722,722
725,725
730,730
734,734
735,735
737,737
739,739
740,740
742,742
743,743
745,745
746,746
749,749
750,750
752,752
754,754
755,755
758,758
759,759
761,761
763,763
764,764
766,766
767,767
768,768
770,770
772,772
774,774
779,779
780,780
781,781
785,785
787,787
790,790
791,791
792,792
793,793
794,794
795,795
796,796
900,900
901,901
902,902
903,903
905,905
906,906
907,907
908,908
909,909
910,910
911,911
913,913
914,914
915,915
916,916
917,917
919,919
920,920
922,922
923,923
924,924
927,927
928,928
929,929
931,931
933,933
935,935
937,937
942,942
943,943
946,946
949,949
952,952
953,953
954,954
960,960
961,961
964,964
965,965
966,966
969,969
971,971
972,972
973,973
974,974
976,976
977,977
978,978
980,980
981,981
982,982
983,983
987,987
