X,y
1,1
3,3
7,7
9,9
11,11
13,13
19,19
23,23
29,29
31,31
35,35
39,39
51,51
53,53
55,55
63,63
65,65
67,67
69,69
75,75
77,77
79,79
81,81
87,87
89,89
95,95
97,97
99,99
103,103
105,105
113,113
119,119
123,123
125,125
127,127
131,131
135,135
137,137
139,139
143,143
145,145
147,147
149,149
151,151
155,155
157,157
163,163
165,165
171,171
175,175
177,177
181,181
183,183
185,185
187,187
189,189
193,193
197,197
199,199
201,201
203,203
205,205
207,207
209,209
211,211
213,213
223,223
227,227
239,239
241,241
247,247
251,251
253,253
255,255
257,257
259,259
265,265
267,267
269,269
271,271
277,277
279,279
281,281
283,283
285,285
287,287
291,291
293,293
295,295
297,297
301,301
307,307
315,315
319,319
323,323
327,327
333,333
335,335
337,337
339,339
341,341
351,351
357,357
367,367
369,369
371,371
373,373
375,375
377,377
381,381
383,383
385,385
389,389
393,393
397,397
399,399
401,401
403,403
405,405
409,409
411,411
413,413
415,415
417,417
419,419
427,427
431,431
433,433
437,437
443,443
445,445
447,447
449,449
451,451
453,453
455,455
461,461
469,469
471,471
475,475
477,477
481,481
487,487
493,493
495,495
497,497
499,499
501,501
505,505
507,507
511,511
513,513
517,517
519,519
521,521
525,525
529,529
531,531
533,533
535,535
537,537
541,541
543,543
549,549
553,553
555,555
557,557
559,559
561,561
565,565
567,567
575,575
577,577
579,579
583,583
587,587
593,593
601,601
605,605
607,607
609,609
611,611
613,613
615,615
617,617
625,625
631,631
633,633
639,639
643,643
645,645
651,651
653,653
655,655
657,657
659,659
663,663
669,669
673,673
675,675
677,677
679,679
683,683
685,685
687,687
691,691
693,693
695,695
699,699
705,705
707,707
709,709
719,719
721,721
723,723
727,727
729,729
739,739
743,743
747,747
749,749
751,751
755,755
757,757
759,759
761,761
763,763
765,765
775,775
779,779
781,781
785,785
787,787
791,791
793,793
797,797
799,799
801,801
803,803
805,805
807,807
811,811
813,813
815,815
819,819
821,821
827,827
831,831
841,841
843,843
845,845
851,851
855,855
857,857
863,863
871,871
873,873
877,877
879,879
881,881
883,883
887,887
889,889
891,891
893,893
901,901
907,907
909,909
911,911
913,913
915,915
917,917
919,919
925,925
927,927
931,931
935,935
937,937
939,939
941,941
943,943
951,951
955,955
957,957
963,963
967,967
969,969
973,973
975,975
977,977
985,985
987,987
991,991
993,993
997,997
1001,1001
1003,1003
1005,1005
1007,1007
1009,1009
1011,1011
1015,1015
1017,1017
1019,1019
1021,1021
1025,1025
1029,1029
1031,1031
1033,1033
1035,1035
1037,1037
1039,1039
1041,1041
1047,1047
1051,1051
1055,1055
1057,1057
1061,1061
1065,1065
1067,1067
1069,1069
1071,1071
1075,1075
1077,1077
1081,1081
1083,1083
1085,1085
1089,1089
1091,1091
1101,1101
1103,1103
1107,1107
1109,1109
1111,1111
1115,1115
1117,1117
1119,1119
1121,1121
1123,1123
1127,1127
1129,1129
1133,1133
1141,1141
1147,1147
1155,1155
1157,1157
1161,1161
1163,1163
1169,1169
1175,1175
1177,1177
1181,1181
1183,1183
1191,1191
1195,1195
1197,1197
1201,1201
1203,1203
1205,1205
1207,1207
1209,1209
1213,1213
1217,1217
1219,1219
1221,1221
1223,1223
1225,1225
1229,1229
1231,1231
1233,1233
1237,1237
1241,1241
1243,1243
1245,1245
1249,1249
1251,1251
1257,1257
1259,1259
1261,1261
1263,1263
1265,1265
1267,1267
1273,1273
1277,1277
1279,1279
1283,1283
1287,1287
1291,1291
1295,1295
1299,1299
1303,1303
1309,1309
1311,1311
1319,1319
1321,1321
1323,1323
1325,1325
1327,1327
1333,1333
1337,1337
1343,1343
1347,1347
1349,1349
1353,1353
1361,1361
1363,1363
1365,1365
1369,1369
1373,1373
1377,1377
1379,1379
1383,1383
1385,1385
1389,1389
1393,1393
1395,1395
1401,1401
1405,1405
1409,1409
1411,1411
1413,1413
1415,1415
1417,1417
1419,1419
1421,1421
1423,1423
1425,1425
1427,1427
1433,1433
1435,1435
1437,1437
1439,1439
1443,1443
1447,1447
1451,1451
1453,1453
