X,y
1,1
2,2
6,6
7,7
01,1
02,2
03,3
04,4
05,5
07,7
09,9
10,10
13,13
16,16
18,18
20,20
21,21
23,23
24,24
25,25
26,26
28,28
30,30
32,32
34,34
35,35
36,36
37,37
41,41
43,43
45,45
48,48
50,50
51,51
52,52
53,53
54,54
56,56
58,58
61,61
64,64
65,65
68,68
69,69
71,71
73,73
75,75
76,76
79,79
81,81
82,82
83,83
86,86
87,87
90,90
012,12
013,13
015,15
016,16
018,18
019,19
021,21
023,23
024,24
026,26
028,28
029,29
031,31
032,32
035,35
036,36
038,38
041,41
043,43
046,46
047,47
048,48
049,49
053,53
056,56
061,61
062,62
064,64
065,65
069,69
071,71
072,72
073,73
074,74
075,75
076,76
078,78
079,79
082,82
084,84
087,87
089,89
092,92
094,94
095,95
096,96
102,102
103,103
104,104
107,107
108,108
109,109
120,120
124,124
125,125
128,128
132,132
137,137
138,138
139,139
143,143
146,146
149,149
152,152
153,153
156,156
157,157
158,158
163,163
164,164
167,167
168,168
169,169
172,172
175,175
178,178
180,180
183,183
184,184
186,186
189,189
190,190
194,194
195,195
198,198
201,201
203,203
204,204
206,206
207,207
209,209
210,210
213,213
215,215
217,217
219,219
231,231
235,235
237,237
239,239
240,240
243,243
245,245
248,248
253,253
257,257
258,258
260,260
261,261
263,263
267,267
268,268
269,269
270,270
271,271
273,273
275,275
278,278
280,280
287,287
289,289
291,291
295,295
304,304
305,305
307,307
310,310
314,314
317,317
318,318
320,320
321,321
326,326
341,341
345,345
346,346
347,347
348,348
349,349
351,351
352,352
356,356
357,357
358,358
359,359
360,360
361,361
362,362
365,365
367,367
369,369
370,370
375,375
379,379
380,380
381,381
384,384
386,386
387,387
389,389
391,391
392,392
394,394
397,397
398,398
401,401
402,402
405,405
407,407
409,409
410,410
412,412
413,413
416,416
417,417
418,418
420,420
421,421
423,423
427,427
428,428
429,429
430,430
431,431
437,437
438,438
439,439
451,451
452,452
453,453
456,456
460,460
462,462
463,463
467,467
468,468
470,470
471,471
472,472
473,473
475,475
476,476
478,478
480,480
481,481
482,482
486,486
489,489
490,490
492,492
493,493
496,496
497,497
501,501
503,503
506,506
507,507
508,508
509,509
510,510
512,512
513,513
516,516
518,518
520,520
521,521
523,523
526,526
527,527
530,530
531,531
537,537
538,538
540,540
541,541
543,543
546,546
548,548
549,549
560,560
561,561
569,569
572,572
573,573
576,576
579,579
580,580
581,581
582,582
583,583
586,586
587,587
590,590
592,592
593,593
596,596
597,597
598,598
601,601
602,602
605,605
609,609
612,612
613,613
615,615
619,619
620,620
621,621
623,623
627,627
628,628
629,629
631,631
632,632
635,635
639,639
640,640
641,641
643,643
645,645
647,647
648,648
650,650
651,651
652,652
653,653
657,657
658,658
659,659
670,670
671,671
673,673
675,675
678,678
679,679
680,680
681,681
682,682
683,683
685,685
689,689
691,691
692,692
693,693
701,701
702,702
703,703
705,705
712,712
719,719
720,720
721,721
724,724
725,725
728,728
729,729
731,731
732,732
734,734
735,735
736,736
739,739
740,740
741,741
749,749
751,751
752,752
753,753
754,754
758,758
761,761
764,764
765,765
768,768
769,769
780,780
783,783
784,784
785,785
786,786
789,789
790,790
793,793
794,794
795,795
801,801
802,802
806,806
807,807
809,809
814,814
815,815
817,817
819,819
823,823
824,824
825,825
827,827
829,829
830,830
831,831
832,832
835,835
836,836
837,837
839,839
840,840
841,841
842,842
843,843
845,845
849,849
850,850
851,851
852,852
853,853
854,854
856,856
857,857
860,860
861,861
862,862
864,864
865,865
867,867
869,869
870,870
871,871
872,872
873,873
875,875
879,879
890,890
891,891
893,893
894,894
895,895
901,901
902,902
903,903
905,905
907,907
914,914
915,915
916,916
920,920
921,921
923,923
924,924
927,927
928,928
932,932
938,938
940,940
941,941
942,942
943,943
946,946
948,948
950,950
951,951
952,952
953,953
956,956
958,958
960,960
962,962
963,963
965,965
967,967
971,971
972,972
973,973
975,975
976,976
978,978
981,981
982,982
983,983
987,987
0123,123
0124,124
0125,125
0132,132
0135,135
0136,136
0137,137
0138,138
0139,139
0143,143
0145,145
0147,147
0152,152
0153,153
0159,159
0162,162
0163,163
0167,167
0169,169
0172,172
0175,175
0178,178
0182,182
0185,185
0187,187
0194,194
0195,195
0196,196
0198,198
0213,213
0214,214
0217,217
0218,218
0219,219
0231,231
0234,234
0235,235
0237,237
0238,238
0241,241
0243,243
0246,246
0248,248
0251,251
0254,254
0256,256
0258,258
0261,261
0264,264
0265,265
0275,275
0276,276
0279,279
0281,281
0283,283
0284,284
