X,y
3,3
4,4
5,5
8,8
9,9
21,21
30,30
31,31
32,32
40,40
42,42
43,43
50,50
51,51
53,53
63,63
70,70
73,73
75,75
76,76
80,80
82,82
83,83
84,84
85,85
86,86
92,92
93,93
94,94
210,210
320,320
420,420
421,421
430,430
431,431
432,432
510,510
521,521
530,530
531,531
541,541
542,542
543,543
610,610
620,620
621,621
631,631
632,632
641,641
642,642
650,650
651,651
652,652
653,653
654,654
720,720
721,721
741,741
743,743
752,752
753,753
761,761
762,762
763,763
764,764
810,810
820,820
821,821
831,831
842,842
851,851
852,852
860,860
863,863
864,864
872,872
873,873
874,874
875,875
910,910
921,921
931,931
932,932
941,941
942,942
943,943
950,950
951,951
953,953
960,960
961,961
962,962
963,963
964,964
965,965
970,970
971,971
972,972
974,974
975,975
976,976
981,981
982,982
986,986
3210,3210
4210,4210
4320,4320
5210,5210
5410,5410
5431,5431
5432,5432
6210,6210
6310,6310
6321,6321
6420,6420
6421,6421
6430,6430
6431,6431
6432,6432
6521,6521
6530,6530
6531,6531
6540,6540
6541,6541
6543,6543
7210,7210
7321,7321
7410,7410
7420,7420
7431,7431
7520,7520
7530,7530
7531,7531
7541,7541
7610,7610
7621,7621
7630,7630
7643,7643
7651,7651
7652,7652
7653,7653
7654,7654
8210,8210
8420,8420
8421,8421
8430,8430
8510,8510
8520,8520
8521,8521
8530,8530
8531,8531
8540,8540
8541,8541
8542,8542
8610,8610
8620,8620
8621,8621
8640,8640
8641,8641
8650,8650
8652,8652
8654,8654
8710,8710
8720,8720
8730,8730
8731,8731
8732,8732
8740,8740
8743,8743
8750,8750
8751,8751
8752,8752
8753,8753
8754,8754
8762,8762
8763,8763
9320,9320
9430,9430
9432,9432
9510,9510
9520,9520
9521,9521
9530,9530
9531,9531
9532,9532
9541,9541
9543,9543
9610,9610
9620,9620
9630,9630
9641,9641
9642,9642
9643,9643
9653,9653
9654,9654
9710,9710
9720,9720
9721,9721
9731,9731
9732,9732
9740,9740
9741,9741
9742,9742
9743,9743
9750,9750
9752,9752
9753,9753
9754,9754
9760,9760
9761,9761
9765,9765
9810,9810
9820,9820
9840,9840
9842,9842
9843,9843
9851,9851
9852,9852
9853,9853
9861,9861
9862,9862
9865,9865
9870,9870
9871,9871
9872,9872
9873,9873
9875,9875
9876,9876
